iteration,HIP-FCI (1),HIP-GMI (3),FUS-FCI (5),PCC-FCI (2),FUS-GMI (4)
1,2,1,3,4,5
2,2,1,5,4,3
3,2,3,5,4,1
4,1,3,5,4,2
5,1,3,5,4,2
6,1,2,5,4,3
7,1,3,5,4,2
8,1,4,5,3,2
9,1,4,2,3,5
10,1,4,5,2,3
11,1,4,5,2,3
12,1,4,5,2,3
13,1,4,2,5,3
14,1,4,5,2,3
15,1,4,5,2,3
16,3,4,5,2,1
17,1,4,2,5,3
18,1,4,5,2,3
19,1,4,5,2,3
20,1,4,5,2,3
21,4,1,5,2,3
22,4,1,5,2,3
23,1,2,5,4,3
24,1,4,2,5,3
25,5,4,1,2,3
26,1,5,4,2,3
27,1,4,5,2,3
28,1,4,5,2,3
29,1,4,5,2,3
30,1,4,3,2,5
31,1,4,5,2,3
32,2,4,5,1,3
33,1,4,5,2,3
34,1,5,4,2,3
35,1,4,5,2,3
36,1,4,5,2,3
37,5,4,1,2,3
38,1,4,5,2,3
39,1,4,3,2,5
40,1,4,5,3,2
41,1,4,5,2,3
42,3,4,5,2,1
43,1,4,5,2,3
44,1,4,5,3,2
45,1,4,5,2,3
46,1,4,5,2,3
47,1,4,2,5,3
48,1,4,5,2,3
49,1,4,5,2,3
50,2,4,5,1,3
51,1,4,3,2,5
52,1,5,4,2,3
53,4,1,5,2,3
54,1,4,5,2,3
55,1,4,3,2,5
56,1,4,5,2,3
57,1,4,5,2,3
58,2,4,5,1,3
59,1,4,5,2,3
60,1,4,3,2,5
61,1,4,3,2,5
62,3,4,5,2,1
63,1,4,5,2,3
64,2,4,5,1,3
65,1,4,5,2,3
66,1,2,5,4,3
67,1,3,5,2,4
68,1,4,5,2,3
69,1,4,5,3,2
70,1,5,4,2,3
71,5,4,1,2,3
72,1,2,5,4,3
73,1,4,5,2,3
74,1,5,4,2,3
75,1,4,5,2,3
76,1,3,5,2,4
77,1,4,2,5,3
78,1,4,5,2,3
79,1,4,5,3,2
80,1,4,5,2,3
81,1,4,5,3,2
82,1,4,5,2,3
83,1,5,4,2,3
84,1,2,5,4,3
85,1,4,5,2,3
86,1,3,5,2,4
87,4,1,5,2,3
88,1,4,5,2,3
89,1,4,5,2,3
90,1,4,5,2,3
91,1,4,5,2,3
92,2,4,5,1,3
93,1,4,5,2,3
94,1,5,4,2,3
95,1,4,5,2,3
96,1,4,5,2,3
97,1,4,5,2,3
98,1,4,5,2,3
99,1,4,5,2,3
100,1,4,5,2,3
